"","engword","meaning","langgroup","setword"
"35","2dl","2dl. pronoun","POC","*koro1"
"36","2p","2p pronoun: you","PMP","*imu"
"37","2p","2p pronoun: you","PAN","*Simu"
"38","2p","2p. pl. pronoun: you","PCEMP","*imi"
"39","2pl","2pl deixis and spatio","PAN","*-Cu"
"40","2pl","2pl. genitive, your, by you","PAN","*n-amu"
"41","2pl","2pl. nominate and genitive; you all, your","PCEMP","*kamiu"
"42","2pl","2pl. nominative and genitive; you all, your","PMP","*kamu-yu"
"43","2pl","2pl. nominative pronoun","PAN","*amu"
"44","2pl","2pl. nominative, you all","PAN","*kamu-yu"
"45","2pl","2pl. nominative, you all","PMP","*kamu2"
"46","2pl","2pl. nominative, you all","PAN","*k-amu"
"47","2pl","2pl. personal pronoun, you all","PPH","*ka-yú"
"48","2sg","2sg possessor and non","PAN","*-nu2"
"49","2sg","2sg. agent/possessor","PAN","*Su<U+0294>u"
"50","2sg","2sg. personal pronoun: you","PMP","*iu3"
"51","2sg","2sg. personal pronoun: you","PAN","*iSu"
"52","2sg","2sg. possessor and agent of passive verb","PMP","*-mu"
"53","2sg","2sg. subject pronoun","PMP","*ka4"
"54","2sg","2sg. subject pronoun","PEMP","*u2"
"55","2sg","2sg. subject pronoun","PMP","*hu<U+0294>u"
"56","2sg","2sg., you","POC","*ko"
"57","2sg","2sg., you","POC","*koe"
"58","2sg","2sg., you","PWMP","*s-ikaw"
"59","2sg","2sg., you","POC","*iko"
"60","2sg","2sg., you","PMP","*i-kahu"
"61","2sg","2sg., you","PAN","*i-kaSu"
"62","2sg","2sg., you","PMP","*kahu"
"63","2sg","2sg., you","PAN","*kaSu"
"64","2sg","2sg.; you","PWMP","*nu2"
"65","3p","3p deixis and spatial reference: that, there (distant?)","PMP ","*-di"
"66","3sg","3sg. agent/possessor","PAN","*ni-a"
"67","3sg","3sg. genitive, his, her","PAN","*ni-ia"
"68","3sg","3sg. object","PMP ","*-a2"
"69","3sg","3sg. personal pronoun: he, she, it","PAN","*si ia1"
"70","3sg","3sg. personal pronoun: he, she; him, her, it","PAN","*ia1"
"71","3sg","3sg. possessor of inalienable possessed nouns","POC ","*-ña"
"72","6","coconut growth stage 6: green drinking coconut","POC","*karut2"
"73","9","coconut growth stage 9: ripe, flesh hardened","POC","*kulu2"
"74","abaca","abaca fiber; fiber","PPH","*lánut"
"75","abaca","outer layer of abaca plant","PPH","*lupis2"
"76","abandon","to leave things or people alone; to abandon","PPH","*bayáq"
"77","abate","to abate, of strong feelings","PMP ","*puqas"
"78","abbreviate","to shorten, cut short or abbreviate","PWMP","*putu<U+014B>2"
"79","abdomen","abdomen, belly","PCEMP","*kampu<U+014B>"
"80","abdomen","abdomen, belly","PMP","*tian"
"81","abdomen","abdomen, belly","PAN","*tiaN"
"82","abdomen","be afflicted with a swollen abdomen as a result of violating customary law.","PWMP","*busu<U+014B>"
"83","abdomen","belly, abdomen","PWMP ","*bete<U+014B>2"
"84","abdomen","distended abdomen","PWMP ","*buntit"
"85","abdomen","have an inflated abdomen","PPh ","*butítiq"
"86","abdomen","hypogastrium, abdomen below the navel","PPH","*pus(e)qun"
"87","abdomen","hypogastrium, abdomen below the navel","PPH","*pus(e)qu<U+014B>"
"88","abdomen","suffer from an inflated abdomen as punishment for wrongdoing","PWMP ","*busu<U+014B>-en"
"89","abdomen","swollen, of the abdomen as a result of the violation of customary law","PWMP ","*ma-busu<U+014B>"
"90","abdomen","to bend backward, protruding the abdomen","PWMP","*liad"
"91","abdominal","abdominal pain","PPH","*hilab"
"92","abducted","be kidnapped or abducted","PWMP","*taban-en"
"93","ability","ability, skill, knowledge how to do something","PWMP","*ka-taqu1"
"94","ability","verbal prefix marking potential action or ability to do something","PWMP","*maka-"
"95","ablaze","kindle, light a fire, set ablaze","POC","*bula1"
"96","able","able to arrive","PWMP","*maka-date<U+014B>"
"97","able","able to be seen, visible","PWMP","*ma-kita"
"98","able","able to cope, able to handle things","PPH","*sapal"
"99","able","able to fetch, get, take, reach","PPh ","*maka-alap"
"100","able","able to obtain","PWMP ","*maka-uliq1"
"101","able","able to pass through","PWMP","*taR-selat"
"102","able","able to plant or bury","PWMP","*ma-tanem"
"103","able","able to resist or persist, as rice grains that are difficult to husk","PWMP ","*betaq1"
"104","able","able to return","PPh ","*maka-uliq2"
"105","able","able to satiate, able to satisfy one's appetite","PWMP ","*maka-besuR"
"106","able","able to see","PWMP","*maka-kita"
"107","able","able to sleep","PPH","*maka-tuduR"
"108","able","able, capable, strong, wealthy","PWMP","*kaya"
"109","able","bearable, able to be carried","PWMP","*ka-ta<U+014B>gu<U+014B>"
"110","able","edible, able to be eaten; able to eat","PPh","*maka-kaen"
"111","able","hesitate, not able to act","PPH","*taka"
"112","able","to be able to hear","PPH","*maka-de<U+014B>eR"
"113","able","to be capable, able, knowledgeable","PMP","*ma-taqu1"
"114","able","to be capable, able, knowledgeable","PAN","*ma-Caqu"
"115","able","to know how, be able to, be skilled at","PMP","*taqu2"
"116","able","to know how, be able to, be skilled at","PAN","*Caqu"
"117","abode","abode, place of residence","PMP","*tahan"
"118","abort","abort, discard","PWMP","*ma<U+014B>-buqa<U+014B>"
"119","abortion","abortion","POC","*sape2"
"120","about","about, concerning","PPH","*tu<U+014B>kúl"
"121","about","ask, inquire about","PWMP","*maR-kutaña"
"122","about","ask, inquire about","PMP ","*kutaña"
"123","about","cry about something","PPH","*luheq-an"
"124","about","do, bring about, change something","PWMP ","*ka-buhat"
"125","about","feel sad about, deplore","PWMP ","*iruq"
"126","about","inquire about, mention someone","PPH","*umat"
"127","about","make a mistake, commit an error, be wrong about something","PWMP","*maR-salaq"
"128","about","move about in restless anger","POC","*<U+014B>ali-<U+014B>ali"
"129","about","moving about rapidly or restlessly","PPH","*kidas"
"130","about","remember, think about","PWMP ","*ma<U+014B>-i<U+014B>at"
"131","about","roam about","PWMP ","*ansaw"
"132","about","round about, around, in one’s surroundings; go around","PMP","*kulili<U+014B>"
"133","about","scatter, strew about","PPh ","*wákat"
"134","about","scatter, strew about","PWMP ","*buras"
"135","about","scattered about","PPH","*watak-watak"
"136","about","scattered, strewn about","PWMP ","*sirak2"
"137","about","talk, talk about, discuss","PAN-F","*kawaS2"
"138","about","think about, consider","PWMP ","*qitu<U+014B>"
"139","about","think about, think over","PWMP ","*i<U+014B>at-i<U+014B>at"
"140","about","think carefully about, consider","PWMP","*a(<U+014B>)gap"
"141","about","to fall silent; keep quiet about something; keep a secret","PPH","*hipes"
"142","about","to grope, fumble about","PPH","*kapaq-kapaq"
"143","about","to hear, listen; obey; hear about; news; fame, famous; to feel, perceive through any sense other than sight","PMP","*de<U+014B>eR"
"144","about","to paddle repeatedly, paddle about","POC ","*pose pose"
"145","about","to scatter things about","PPH","*waság"
"146","about","to sow, scatter; scattered about; splash water on something","PMP","*sabuR"
"147","about","toss about","PWMP ","*lindag"
"148","about","walk about, take a walk","POC","*pajale"
"149","about","wander about","PMP","*lakaw lakaw"
"150","above","above","PCMP","*letay1"
"151","above","above, in the interior","PWMP","*di-daya"
"152","above","above, on the top","POC","*i papo"
"153","above","above, on top","PPH","*<U+014B>atu"
"154","above","above, on top","PMP","*i-atas"
"155","above","above, on top","PAN","*i aCas"
"156","above","above, on top of","PAN","*i babaw"
"157","above","above; outside","POC","*papo1"
"158","above","lie above",NA,"*(noise)"
"159","above","project above, stick up","PPH","*labaw2"
"160","above","storage shelf above the hearth","POC","*paRa, baRa"
"161","above","strike from above, pound","POC ","*qatu"
"162","above","to put above","PPH","*sapat"
"163","above","up, above","POC","*la<U+014B>i2"
"164","above","up, above","POC","*laka1"
"165","above","upper surface, top, above","PCEMP","*bobo2"
"166","above","upper surface, top, above","PMP","*bawbaw"
"167","above","upper surface, top; highlands; on, upon, over, above","PAN","*babaw3"
"168","above","visible tree roots above the ground","PWMP","*pa<U+014B>kal"
"169","abrade","rub, abrade","PMP","*gasgas"
"170","abrade","to scrape, abrade","POC","*kakas-i"
"171","abrasion","abrasion of the skin","PWMP","*laslas"
"172","abrasion","be sandpapered, smoothed by abrasion","PWMP ","*qa(m)pelas-en"
"173","abrasion","to sandpaper, smooth by abrasion","PWMP ","*ma<U+014B>-qa(m)pelas"
"174","Abroma","shrub or small tree: Abroma augusta L.","PWMP ","*anabu"
"175","abrupt","sudden, abrupt, unexpected","PPH","*kelaqat"
"176","Abrus","a vine and the seeds of its fruit: Abrus precatorius","PWMP ","*saga"
"177","abscess","abscess, boil, swelling on the body","PAN","*baReq"
"178","abscess","boil, abscess","PPH","*peRsa"
"179","abscess","boil, abscess","POC","*loto2"
"180","abscess","boil, abscess","PWMP ","*bitul"
"181","abscess","boil, abscess","PMP ","*bisul"
"182","abscesses","a plant with flowers the shape of a dog's tail, used to treat abscesses","PMP ","*ikuR ikuR ni asu"
"183","absence","absence, omission","PPH","*la<U+014B>an"
"184","absence","dark in color or from the absence of light","PWMP","*lidem"
"185","absolute","1p plural absolute possessive pronoun: ours (incl.)","PMP","*aten"
"186","absolute","1p plural absolute possessive pronoun: ours (incl.)","PAN","*iten"
"187","absorbing","sucking, soaking up, absorbing","PMP ","*qisep"
"188","abstract","formative for abstract nouns (often deverbal)","PAN","*ka- -an3"
"189","abstract","formative for abstract nouns of quality","PAN","*ka-5"
"190","abundance","abundance of rain","PWMP ","*ka-quzan"
"191","abundance","abundance, surplus","PWMP ","*labe<U+014B>"
"192","abundance","satiatiated, full (of the stomach after eating); fertile, bring forth plentifully, abundance of food","POC","*masuR"
"193","abundant","abundant",NA,"*(noise)"
"194","abundant","abundant, growing profusely","PPH","*labu<U+014B>"
"195","abuse","abuse",NA,"*(loan)"
"196","Acacia","an evergreen tree, probably Acacia confusa","PAN-F","*tuquN"
"197","Acalypha","a plant: Acalypha spp.","PPH","*abilus"
"198","Acalypha","a shrub: Acalypha sp.","POC","*kalaqabusi"
"199","Acalypha","a tree: Acalypha amentacea Roxb.","PPH","*beRus"
"200","Acanthurus","surgeonfish: Acanthurus spp.","PMP","*qapaliR"
"201","Acanthurus","unicorn fish: Acanthurus unicornis","PMP","*taRaq2"
"202","accept","accept, receive",NA,"*(loan)"
"203","accept","acknowledge; receive, accept","PWMP ","*aku-en"
"204","accept","allow, agree, accept, permit","POC","*taRamwi"
"205","accept","receive, accept","PWMP ","*ta<U+014B>gap"
"206","accept","to receive, accept","PPH","*dawat-en"
"207","accompaniment","fish; accompaniment to rice","PPH","*sedaq"
"208","accompany","accompany, escort","PMP","*h<um>ateD"
"209","accompany","accompany, escort","PAN","*S<um>ateD"
"210","accompany","accompany, escort",NA,"*(noise)"
"211","accompany","accompany, escort, conduct, convey; send; return; escort the bride to her husband; gift of food at a wedding; send bridewealth payments","PEMP","*ated"
"212","accompany","accompany, escort, conduct, convey; send; return; escort the bride to her husband; gift of food at a wedding; send bridewealth payments","PMP","*hateD"
"213","accompany","accompany, escort; send, return","PAN","*SateD"
"214","accompany","accompany, go together with","PWMP ","*duluR"
"215","accompany","escort, accompany","PAN","*ma-SateD"
"216","accompany","escort, accompany (imperative)","PMP","*hateD-an"
"217","accompany","escort, accompany (imperative)","PAN","*SateD-an"
"218","accompany","follow; accompany","PMP ","*iri<U+014B>1"
"219","accompany","go with, accompany someone","PWMP","*man-de<U+014B>an"
"220","accompany","join, participate in; accompany","PPh ","*báli"
"221","accompany","push something to start it moving; accompany someone to help them start a journey","PPH","*tulúd"
"222","accompany","send, accompany","PWMP","*ma<U+014B>-hateD"
"223","accompany","stay with, accompany","PPh ","*antábay"
"224","accompany","to lead in walking; to accompany","PPH","*kúyug"
"225","account","do, make, create, perform; to work; to wager: deed; thing; creation; behavior, conduct, performance; work; a bet; because, on account of, through the action of; need, use for something; necessary; for (benefactive)","PMP","*buhat2"
"226","accusation","accusation, blame",NA,"*(loan)"
"227","accusation","to parry, turn an attack or accusation aside","PWMP","*ta<U+014B>kis"
"228","accuse","accuse someone, find fault with someone (?)","PWMP","*ma-ñalaq"
"229","accuse","to accuse, to inform on someone","PPH","*sumbu<U+014B>"
"230","accuse","to blame, accuse","PPH","*luya3"
"231","accuse","to blame, accuse of error or fault; to punish","PMP","*pa(ka)-salaq"
"232","accustomed","accustomed",NA,"*(loan)"
"233","accustomed","accustomed to",NA,"*(noise)"
"234","accustomed","accustomed to, familiar with; tame","PAN","*ma-najam"
"235","accustomed","accustomed to, familiar with; tame","PAN","*najam"
"236","accustomed","accustomed to, skilled at, used to","PPH","*anad"
"237","accustomed","accustomed to, tame","PAN","*ma-dajam"
"238","accustomed","accustomed to, tame","PAN","*dajam"
"239","accustomed","familiar with, accustomed to","PAN","*lajam"
"240","accustomed","tame, accustomed, used to","POC","*lasa1"
"241","ace","ace",NA,"*(loan)"
"242","achieve","to force, achieve by force","PPH","*duldúl1"
"243","achieved","past participle/achieved state","PMP","*ka-7"
"244","acid","acid",NA,"*(loan)"
"245","acid","sour, acid","PWMP ","*ma-qaRsem"
"246","acid","tart, acid, as the taste of certain unripe fruits","PWMP","*sapelet"
"247","acid","tart, acid, as the taste of certain unripe fruits","PWMP","*sapeled"
"248","acidity","sourness, acidity","PAN","*qaRsem"
"249","acidity","sourness, acidity","PWMP ","*qalesem"
"250","acknowledge","acknowledge; receive, accept","PWMP ","*aku-en"
"251","acknowledge","deny, refuse to acknowledge","PWMP ","*u<U+014B>kir"
"252","acknowledgement","exclamation of acknowledgement, surprise, etc.","PMP ","*qu1"
"253","acquaintance","acquaintance","PWMP ","*basa"
"254","acquainted","to know (a person), recognize, be acquainted with; to feel, perceive","PAN","*kilala"
"255","acquired","cloth acquired in trade from Chinese (?)",NA,"*(loan)"
"256","acrid","acrid or bitter taste","PWMP","*pelet"
"257","acrid","acrid, pungent, of odor","PMP","*se<U+014B>(e)hit"
"258","acrid","acrid, pungent, of odor","PMP","*se<U+014B>(e)hij"
"259","acrid","acrid, pungent, of odor","PMP","*se<U+014B>et1"
"260","across","cut across","POC ","*polos1"
"261","across","jump over or across","PPH","*lik(e)taw"
"262","across","jump over or across","PPH","*lak(e)táw"
"263","across","meet, come across by chance",NA,"*(noise)"
"264","across","obstruct, lie across or athwart","PWMP","*qala<U+014B>"
"265","across","obstruct, stretch across",NA,"*(noise)"
"266","across","reach across",NA,"*(noise)"
"267","across","thwart, crosspiece, as one used to restrain person; lie athwart or across","PWMP","*balagbag"
"268","across","to bridge or span, build a bridge across something","PPH","*tulay-an"
"269","across","to cut across, cut off","PWMP","*pi(n)tas"
"270","across","to jump, leap across","PPH","*luk(e)súh"
"271","across","to wade, wade across","POC","*tuRu1"
"272","across","transport someone across a river (?)","PWMP","*dapit"
"273","across","wear across the shoulder","PWMP","*sanda<U+014B>"
"274","across","width, extent across","PMP","*bera<U+014B>"
"275","Acrostichum","kind of fern: Acrostichum aureum","PWMP","*piay"
"276","action","action, manner",NA,"*(noise)"
"277","action","be startled or frightened, as by violent action","PPH","*qaliaw"
"278","action","deed, action, performance","PWMP ","*paR-buhat-an"
"279","action","do something with someone else, perform an action together","PAN","*mi-da-duSa"
"280","action","do, make, create, perform; to work; to wager: deed; thing; creation; behavior, conduct, performance; work; a bet; because, on account of, through the action of; need, use for something; necessary; for (benefactive)","PMP","*buhat2"
"281","action","incite, spur to action","PMP ","*asu<U+014B>"
"282","action","manner in which an action is carried out","PWMP","*ka-6"
"283","action","nominal prefix marking instruments, or products of an action","PWMP","*pa<U+014B>-"
"284","action","prefix marking spontaneous or involuntary action","PAN","*taR-"
"285","action","prefix marking spontaneous or involuntary action","PMP","*ta-2"
"286","action","prefix of reciprocal or collective action","PEMP ","*paRi-"
"287","action","prefix of repeated action","PWMP ","*para-"
"288","action","quick, fast, of speech or actions; often, frequently","PPH","*darás"
"289","action","social prefix, indicating action together with another","PPH","*maki-"
"290","action","to assume, act on a supposition, be the reason for an action, escuse for something","PWMP","*dalih"
"291","action","to pass, cross over to the other side; to be past, of time for an action","PWMP","*lapas"
"292","action","verbal prefix marking potential action or ability to do something","PWMP","*maka-"
"293","action","verbal suffix marking patient or undergoer voice; nominal suffix marking product of an action or thing affected by an action","PAN","*-en"
"294","active","energetic, active","PWMP ","*sikaD"
"295","activity","companion in some activity","PPh","*ka-sabáy"
"296","activity","complete an activity, see through to completion","PPH","*perper1"
"297","activity","soothing sound of humming activity, twittering, etc.","PWMP","*kicaw"
"298","activity","stop an activity, take a break, rest","PAN-F","*Seked"
"299","activity","summon others to join an activity","PWMP ","*azak"
"300","activity","to change place or activity","PPH","*qalis-an"
"301","activity","to change place or activity","PPH","*qalís"
"302","activity","to rest, take a break from work or other activity","PAN-F","*Ceked"
"303","actor","verbal infix marking actor voice","PAN","*<um>"
"304","actor","verbal infix marking actor voice  for intransitive verbs, and of inchoatives","PMP","*<um>"
"305","Adam's","fruit; areca palm and nut; grain; berry; seed; nut; endosperm of a sprouting coconut; kidney; heart; finger; calf of the leg; testicle; various insects; scar tissue; roe; bud; flower; blossom; bear fruit; words, speech, or songs; meaning, contents of discussion; numeral classifier for roundish objects; buttock; Adam's apple; nipple of the breast; button; marble; tattooing","PMP","*buaq"
"306","add","add a piece","PWMP","*timbaw1"
"307","add","add to, increase","PWMP ","*unzan"
"308","add","add to, increase; addition, supplement","PWMP","*tambaq"
"309","added","join two things to give added length (rope, bamboo, etc.)","PAN-F","*Nutud"
"310","added","place where something grows or is added","PWMP","*tubuq-an"
"311","addicted","addicted to","PWMP","*gian"
"312","addition","add to, increase; addition, supplement","PWMP","*tambaq"
"313","addition","addition, annex to a building","PWMP","*ta<U+014B>kir"
"314","addition","extra, surplus, in addition to","PWMP","*kapin"
"315","addition","increase, addition","PWMP ","*imbuq"
"316","addled","rotten meat; addled eggs; bad character","PAN","*buRuk"
"317","addled","rotten, as meat; addled, as eggs; bad, of character","PMP","*ma-buRuk"
"318","address","father's sister, possibly address term","PMP","*ema-q"
"319","address","father's sister, possibly address term","PMP","*ema1"
"320","address","parent’s younger sibling, junior uncle; a young child’s term of address for his father, vocative of *ama","PMP","*mama"
"321","address","polite term of address to an older woman (?)","PPH","*úya<U+014B>"
"322","address","term of address for females",NA,"*(noise)"
"323","address","term of address for girls",NA,"*(loan)"
"324","address","term of address for girls",NA,"*(noise)"
"325","address","term of address for older female relative","PPH","*nana2"
"326","address","term of address to girls","PWMP","*enzi-q"
"327","address","term of address to girls","PWMP ","*enzi"
"328","address","term of address to males","PWMP ","*azuq"
"329","address","to address a younger woman politely","PPH","*uyá<U+014B>-en"
"330","adept","skilled, adept",NA,"*(loan)"
"331","adhere","adhere, stick to","PWMP ","*ta(<U+014B>)ket"
"332","adhere","burnt food which adheres to the pot","PMP","*epit1"
"333","adhere","burnt food which adheres to the pot","PMP","*epiq"
"334","adhere","burnt rice which adheres to the pot","PWMP","*etip"
"335","adhere","hard crust of rice that adheres to the bottom of the cooking pot","PPh ","*itíp"
"336","adhere","stick to, adhere firmly","PMP","*kukuq"
"337","adhere","stick, adhere","PWMP ","*eket"
"338","adhere","stick, adhere","PWMP","*dulit1"
"339","adhere","stick, adhere to","PMP ","*si(<U+014B>)ket"
"340","adhere","stick, adhere to","PMP","*da(<U+014B>)ket"
"341","adhere","stick, adhere to; sticky, viscous","PMP ","*la(<U+014B>)ket"
"342","adhere","stick, adhere; join together","PWMP","*li<U+014B>kit"
"343","adhere","to adhere, stick to","POC","*kabit2"
"344","adhere","to adhere, stick to","PMP","*kampit"
"345","adhere","to stick to something, adhere","PWMP","*d<um>eket"
"346","adhere","to stick, adhere","POC","*rago"
"347","adhere","to stick, adhere","PPH","*i-deket"
"348","adhere","to stick, adhere firmly","POC","*rokot"
"349","adhere","to stick, adhere to; sticky, adhesive","PWMP","*reket"
"350","adhere","to stick, adhere to; sticky, adhesive","PMP","*maket"
"351","adhere","to stick, adhere; glue","PWMP","*seket2"
"352","adhesive","adhesive, sticky",NA,"*-keC"
"353","adhesive","caulk; adhesive material",NA,"*-lit1"
"354","adhesive","paste, adhesive (probably made of overcooked rice)","PMP","*deket1"
"355","adhesive","paste, adhesive (probably made of overcooked rice)","PAN","*dekeC"
"356","adhesive","sticky, adhesive","PMP","*diket"
"357","adhesive","sticky, adhesive","PMP","*peket"
"358","adhesive","sticky, adhesive","PWMP","*piket2"
"359","adhesive","sticky, adhesive","PMP","*ña(<U+014B>)ket"
"360","adhesive","sticky, adhesive","PMP ","*raket"
"361","adhesive","sticky, adhesive","PWMP ","*piReket"
"362","adhesive","sticky, adhesive","PMP ","*niket"
"363","adhesive","sticky, adhesive","PMP ","*liket"
"364","adhesive","sticky, adhesive","PAN","*dikeC"
"365","adhesive","sticky, adhesive; stuck in one’s memory","PWMP","*leket"
"366","adhesive","sticky, glutinous, adhesive","PPH","*dayket"
"367","adhesive","to stick, adhere to; sticky, adhesive","PWMP","*reket"
"368","adhesive","to stick, adhere to; sticky, adhesive","PMP","*maket"
"369","adjacent","boundary between adjacent rice fields","PAN-F","*Naqeji"
"370","adjacent","in layers, adjacent to one another","PMP","*taq(e)pil"
"371","adjacent","touching, adjacent, as fighters presenting a united front","PWMP","*sundul"
"372","adjectival","adjectival prefix","POC","*a-"
"373","adjectival","adjectival prefix for adjectives of measure","PMP","*ha-1"
"374","adjective","adjectival prefix for adjectives of measure","PMP","*ha-1"
"375","adjective","interrogative of quantity: how much?, how many?; adjective of indefinite quantity: some, several, a few","PAN","*pijax"
"376","adjective","no, not; negator of verbs and adjectives (cf *buken, *dian, *wada)","PAN","*qazi"
"377","administrative unit","district, administrative unit",NA,"*(loan)"
"378","admit","admit, confess","PWMP ","*ma<U+014B>-aku"
"379","admit fault","admit fault, confess",NA,"*(loan)"
"380","admonish","to warn, admonish","PWMP ","*pa-i<U+014B>at"
"381","adornment","encircling article of clothing or adornment","PWMP","*giret"
"382","adornment","long feathers used for personal adornment","PAN-F","*RiNaS"
"383","adrift","adrift","PPh ","*qañud-en"
"384","adrift","adrift","PMP","*ma-qañud"
"385","adrift","adrift","PPh ","*i-qañud"
"386","adrift","be cast adrift, cast ashore after going adrift","PPH","*padpád"
"387","adrift","float, be adrift","POC ","*mañur mañur"
"388","adrift","floating, adrift","POC ","*maqañur"
"389","adrift","set adrift","PAN","*pa-añud"
"390","adulthood","adulthood, maturity; old age","PWMP","*ka-tuqah-an"
"391","advance","earlier, in advance","PAN","*zulu"
"392","advance","to pay for in advance","PPH","*ta<U+014B>(e)paq"
"393","advantage","take advantage of a situation or opportunity, exploit an advantage","PPH","*sambut1"
"394","adverb","demonstrative pronoun and adverb: this, here; that, there","PAN","*si ia2"
"395","adverb","demonstrative pronoun and adverb: this, here; that, there","PMP ","*ia2"
"396","adversative","marker of the adversative passive","PAN","*ka- -an1"
"397","advice","to point at, point out, lecture or instruct, give advice","PAN","*t<um>uzuq"
"398","advise","to advise, help someone with a problem","PPH","*tambaR"
"399","adze","adze","PWMP ","*palu2"
"400","Adze","Adze it!, Hew it!","PAN","*taRaq-i"
"401","adze","adze or similar tool","PWMP","*sa(<U+014B>)kal"
"402","adze","adze, axe","PWMP ","*baliu<U+014B>"
"403","adze","axe or adze","PMP ","*kiRam"
"404","adze","chop, split, adze something",NA,"*(noise)"
"405","adze","handle of an axe or adze","POC","*paRara"
"406","adze","handle of an axe or adze","PMP","*paRada"
"407","adze","hewing with an adze","PAN","*taRaq1"
"408","adze","implement with curved blade: adze; hammerhead shark","PMP","*bi<U+014B>ku<U+014B>"
"409","adze","kind of axe or adze","PWMP ","*li<U+014B>(e)bas"
"410","adze","to adze wood, hew wood with an adze","PAN","*t<um>aRaq"
"411","adze","to adze, shape wood with an adze","PWMP ","*bala1"
"412","adze","to hew with an adze","PWMP","*ma-naRaq"
"413","aerial","aerial root",NA,"*(loan)"
"414","aerial","potato yam, aerial yam: Dioscorea bulbifera","POC","*pwatika"
"415","affected","affected by heat (?)","PPH","*ka-pasuq-an"
"416","affected","affected by sores, wounded","PWMP","*nuka-en"
"417","affected","affected by the moon, mentally or emotionally unstable","PWMP ","*bulan bulan-en"
"418","affected","affected by the moon, mentally or emotionally unstable","PWMP ","*bulan-en"
"419","affected","be affected by a death","PWMP ","*ka-m-atay-an"
"420","affected","be affected by itching, be infected with scabies or other itchy skin disorders","PWMP","*gatel-en"
"421","affected","be affected by tinea","PWMP ","*panaw-en"
"422","affected","verbal suffix marking patient or undergoer voice; nominal suffix marking product of an action or thing affected by an action","PAN","*-en"
"423","affection","belly; mind; seat of affections","POC","*topwa"
"424","affection","expression of pity or affection","PMP","*ka-qasiq-an"
"425","affection","feel affection or compassion for","PWMP ","*maR-qasiq"
"426","affection","mercy, pity, affection","PMP","*ka-qasiq"
"427","affection","pity, compassion, affection, love, sympathy, forgiveness","PMP ","*qasiq"
"428","affinal","affinal relative",NA,"*(noise)"
"429","affinal","affinal relative, probably son","PPH","*ma-nuRa<U+014B>"
"430","affine","affine of Ego's generation","PAN","*idas1"
"431","affine","affines of the first ascending or zero generation","POC ","*pu<U+014B>ao"
"432","affirmation","yes; expression of affirmation","PMP ","*qio"
"433","affirmative","affirmative particle",NA,"*(noise)"
"434","affix","passive affix",NA,"*(noise)"
"435","afflicted","a state of pain or difficulty; be afflicted by illness","PWMP","*ka-sakit-an"
"436","afflicted","be afflicted with a swollen abdomen as a result of violating customary law.","PWMP","*busu<U+014B>"
"437","afflicted","be afflicted with intestinal worms","PWMP ","*bituk-en"
"438","afflicted","to husk rice; be afflicted with pimples on the skin resembling rice grains","PWMP ","*beRas-en"
"439","affliction","affliction of the eyes","POC","*buta3"
"440","aflame","ignite, set aflame","PWMP","*deket2"
"441","afraid","(lit. 'small liver') afraid","PMP ","*X5 + qatay"
"442","afraid","be afraid of something","POC","*rere1"
"443","afraid","become afraid","PMP","*t<um>akut"
