"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"14","Bima","bhp",-8.5,118.5,"Indonesia","Syamsuddin A.R. / IKIP Bandung","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 246","Number of Retentions: Proto Malayo-Polynesian:82","Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Bima-Sumba","http://wals.info/languoid/lect/wals_code_bim","http://www.ethnologue.com/show_language.asp?code=bhp"
"15","Bintulu","bny",NA,NA,NA,"Blust","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 213","Number of Retentions: Proto Malayo-Polynesian:90","Number of Loans: 10","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Bintulu",NA,"http://www.ethnologue.com/show_language.asp?code=bny"
"16","Bobot","bty",NA,NA,NA,"Jim Collins","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 195","Number of Retentions: Proto Malayo-Polynesian:62","Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Seram:Bobot",NA,"http://www.ethnologue.com/show_language.asp?code=bty"
"17","Bonerate","bna",NA,NA,NA,"Jim Collins","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 202","Number of Retentions: Proto Malayo-Polynesian:72","Number of Loans: 7","Austronesian:Malayo-Polynesian:Celebic:Eastern:Southeastern:Muna-Buton:Tukangbesi-Bonerate",NA,"http://www.ethnologue.com/show_language.asp?code=bna"
"18","Chamorro","cha",13.45,144.75,"Guam","Blust, from: Topping (1975)","Topping, D.M. (1975). Chamorro-English Dictionary. University of Hawaii Press: Hawaii","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 281","Number of Retentions: Proto Malayo-Polynesian:73","Number of Loans: 41","Austronesian:Malayo-Polynesian:Chamorro","http://wals.info/languoid/lect/wals_code_cha","http://www.ethnologue.com/show_language.asp?code=cha"
"19","Canala","ane",-21.67,166,"New Caledonia","Blust, from: Grace (1975)","Grace, G.W. (1975) Canala dictionary (New Caledonia). Canberra:Pacific Linguistics.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 219","Number of Retentions: Proto Malayo-Polynesian:47","Proto-Oceanic:54Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:New Caledonian:Southern:South:Xaracuu-Xaragure","http://wals.info/languoid/lect/wals_code_xar","http://www.ethnologue.com/show_language.asp?code=ane"
"20","Javanese","jav",-7,111,"Indonesia","Pujiati Suyata","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 217","Number of Retentions: Proto Malayo-Polynesian:68","Number of Loans: 11","Austronesian:Malayo-Polynesian:Javanese","http://wals.info/languoid/lect/wals_code_jav","http://www.ethnologue.com/show_language.asp?code=jav"
"21","Kilokaka (Ysabel)","jaj",NA,NA,NA,"Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 193","Number of Retentions: Proto Malayo-Polynesian:35","Proto-Oceanic:41Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Santa Isabel:Central",NA,"http://www.ethnologue.com/show_language.asp?code=jaj"
"22","Timugon (Murut)","tih",5,116,"Malaysia","Jack Prentice","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 236","Number of Retentions: Proto Malayo-Polynesian:88","Number of Loans: 2","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Dayic:Murutic:Murut","http://wals.info/languoid/lect/wals_code_tim","http://www.ethnologue.com/show_language.asp?code=tih"
"23","Kis","kis",NA,NA,NA,"D.C. Laycock","no inalienable possession","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 125","Number of Retentions: Proto Malayo-Polynesian:32","Proto-Oceanic:37Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Schouten:Kairiru-Manam:Manam",NA,"http://www.ethnologue.com/show_language.asp?code=kis"
"24","Mor","mhz",-2.95,135.75,"Indonesia","Blust, from Laycock (1965-1966), Anceaux (1961)","Anceaux, J.C. (1961) The linguistic situation in the islands on Yapen, Kurundu, Nau, and Miosnum, New Guinea. Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde, Vol. 35. The Hague: Nijhoff.
Laycock, D.C. (1965-1966) Unpublished field notes on Mor. Manuscript.
Tried to add Grace materials, but these appear to represent a distinct dialect","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 184","Number of Retentions: Proto Malayo-Polynesian:41","Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:South Halmahera-West New Guinea:West New Guinea:Cenderawasih Bay:Mor","http://wals.info/languoid/lect/wals_code_mor","http://www.ethnologue.com/show_language.asp?code=mhz"
"25","Mota","mtt",NA,NA,NA,"Blust, From Codrington & Palmer (1896)","Codrington, R.H. & Palmer, J. (1896). A dictionary of the language of Mota, Sugarloaf Island, Banks Islands. London: Society for Promoting Christian Knowledge","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 253","Number of Retentions: Proto Malayo-Polynesian:81","Proto-Oceanic:116Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=mtt"
"26","Motu","meu",-9.33,147,"Papua New Guinea","Blust, from: Lister-Turner & Clark (1930)","Lister-Turner, Rev. R., & Clark, Rev. J.B. (1930). A Grammar of the Motu language of Papua. Government Printer: Sydney","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 220","Number of Retentions: Proto Malayo-Polynesian:79","Proto-Oceanic:99Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Peripheral:Central Papuan:Sinagoro-Keapara","http://wals.info/languoid/lect/wals_code_mtu","http://www.ethnologue.com/show_language.asp?code=meu"
"27","Muna (Katobu-Tongkuno Dialect)","mnb",-5,122.5,"Indonesia","René van den Berg","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 219","Number of Retentions: Proto Malayo-Polynesian:74","Number of Loans: 2","Austronesian:Malayo-Polynesian:Celebic:Eastern:Southeastern:Muna-Buton:Nuclear Muna-Buton:Munan:Munic:Western","http://wals.info/languoid/lect/wals_code_mna","http://www.ethnologue.com/show_language.asp?code=mnb"
"28","Iban","iba",2,112,"Malaysia","Blust from: Richards (1981)","Richards A. J. N. (1981): An Iban-English dictionary. Oxford: Oxford University Press.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 276","Number of Retentions: Proto Malayo-Polynesian:119","Number of Loans: 10","Austronesian:Malayo-Polynesian:Malayo-Chamic:Malayic:Ibanic","http://wals.info/languoid/lect/wals_code_iba","http://www.ethnologue.com/show_language.asp?code=iba"
"29","Kaidipang","kzp",NA,NA,NA,"Hunggu Tadjuddin Usup","Hunggu Tadjuddin Usup et al (1999). Kamus bahasa Indonesia-Kaidipang. Jakarta : Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaan.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 205","Number of Retentions: Proto Malayo-Polynesian:85","Number of Loans: 1","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Gorontalo-Mongondow:Gorontalic",NA,"http://www.ethnologue.com/show_language.asp?code=kzp"
"30","Kairiru","kxa",-3.33,143.58,"Papua New Guinea","R. Wivell","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 249","Number of Retentions: Proto Malayo-Polynesian:79","Proto-Oceanic:106Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Schouten:Kairiru-Manam:Kairiru","http://wals.info/languoid/lect/wals_code_krr","http://www.ethnologue.com/show_language.asp?code=kxa"
"31","Kakiduge:n Ilongot","ilk",NA,NA,NA,"Reid (1971)","Reid, Lawrence A. (ed.) (1971). Philippine Minor Languages: word lists and phonologies. (Oceanic Linguistics special publication, 8). Honolulu: University of Hawai'i Press.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 206","Number of Retentions: Proto Malayo-Polynesian:64","Number of Loans: 3","Austronesian:Malayo-Polynesian:Philippine:Northern Luzon:Meso-Cordilleran:South-Central Cordilleran:Southern Cordilleran:Ilongot",NA,"http://www.ethnologue.com/show_language.asp?code=ilk"
"32","Kambera","xbr",-9.83,120.17,"Indonesia","Blust, from: Onvlee (1984), Corrections from M. Klamer","Onvlee, L. 1984. Kamberaas (Oost-Soembaas) Nederlands woordenboek. Dordrecht: Foris","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 225","Number of Retentions: Proto Malayo-Polynesian:90","Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Bima-Sumba","http://wals.info/languoid/lect/wals_code_kam","http://www.ethnologue.com/show_language.asp?code=xbr"
"33","Kapampangan","pam",15.33,120.5,"Philippines","Blust from: Forman (1971), McFarland 1977","Forman, M.L. (1971) A Kapampangan dictionary. Honolulu: University of Hawaii Press.
McFarland, C.D. (1977) Northern Philippine linguistic geography. Study of Languages Cultures of Asia and Africa Monograph Series, no. 9. Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 231","Number of Retentions: Proto Malayo-Polynesian:94","Number of Loans: 5","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Pampangan","http://wals.info/languoid/lect/wals_code_kpm","http://www.ethnologue.com/show_language.asp?code=pam"
"34","Lamaholot Ile Mandiri (Flores Timur)","slp",-8.25,122.92,"Indonesia","Inyo Fernandes","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 218","Number of Retentions: Proto Malayo-Polynesian:77","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Timor:Flores-Lembata","http://wals.info/languoid/lect/wals_code_lmh","http://www.ethnologue.com/show_language.asp?code=slp"
"35","Erai","ilu",NA,NA,NA,"Blust","From J de Jong","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 200","Number of Retentions: Proto Malayo-Polynesian:78","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Timor:Extra-Ramelaic:North:Wetar",NA,"http://www.ethnologue.com/show_language.asp?code=ilu"
"36","Bontok, Guina-ang","lbk",NA,NA,NA,"Lawrence A. Reid","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 285","Number of Retentions: Proto Malayo-Polynesian:102","Number of Loans: 6","Austronesian:Malayo-Polynesian:Philippine:Northern Luzon:Meso-Cordilleran:South-Central Cordilleran:Central Cordilleran:North Central Cordilleran:Nuclear Cordilleran:Bontok-Kankanay:Bontok",NA,"http://www.ethnologue.com/show_language.asp?code=lbk"
"37","Bughotu","bgt",NA,NA,NA,"Blust","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 275","Number of Retentions: Proto Malayo-Polynesian:77","Proto-Oceanic:92Number of Loans: 11","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Gela-Guadalcanal:Bughotu",NA,"http://www.ethnologue.com/show_language.asp?code=bgt"
"38","Marquesan","mrq",-8.92,-140.08,"French Polynesia","POLLEX 2000 (Bruce Biggs & Ross Clark), David Addison","This is an amalgamation of North (MRQ) and South Marquesan (QMS)  
Pollex supplemented from Dordillon 1931-1932","This is an amalgamation of North (MRQ) and South Marquesan (QMS)","Typed By: Simon Greenhill and Russell Gray  Checked By: Simon Greenhill",NA,NA,"Total Data: 381
            Number of Retentions: Proto Malayo-Polynesian:120
             
            Proto-Oceanic:149Number of Loans: 11","http://wals.info/languoid/lect/wals_code_mrq","http://www.ethnologue.com/show_language.asp?code=mrq"
"39","Ali","ykm",NA,NA,NA,"D.C. Laycock","[Â«] is probably most instances /a/ but may represent a reduction of other vowels","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 174","Number of Retentions: Proto Malayo-Polynesian:53","Proto-Oceanic:58Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Schouten:Siau",NA,"http://www.ethnologue.com/show_language.asp?code=ykm"
"40","Ambai (Yapen)","amk",-1.83,136.5,"Indonesia","Blust, from Grace Notebooks","Ambai (Yapen) = Menawi / Kandewaia","some of the prints are very unclear","Typed By: Peng Du  Checked By: Simon Greenhill",NA,NA,"Total Data: 196
            Number of Retentions: Proto Malayo-Polynesian:33
             
            Number of Loans: 0","http://wals.info/languoid/lect/wals_code_amq","http://www.ethnologue.com/show_language.asp?code=amk"
"41","Mori","xmz",NA,NA,NA,"Hans Lapotiwa","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 228","Number of Retentions: Proto Malayo-Polynesian:98","Number of Loans: 0","Austronesian:Malayo-Polynesian:Celebic:Eastern:Southeastern:Bungku-Tolaki:Eastern:East Coast",NA,"http://www.ethnologue.com/show_language.asp?code=xmz"
"42","Atoni","aoz",-9.67,124.5,"Indonesia","Blust","This list appears to be represent a mixture of the Baikeno, Molo and Amfo'an dialects -ASch
Annotations made on the basis of Owens (2016) by ASch.","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 210","Number of Retentions: Proto Malayo-Polynesian:78","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Timor:Extra-Ramelaic:West","http://wals.info/languoid/lect/wals_code_tse","http://www.ethnologue.com/show_language.asp?code=aoz"
"43","Aklanon - Bisayan","akl",11.58,122.33,"Philippines","Dave Zorc","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 240","Number of Retentions: Proto Malayo-Polynesian:114","Number of Loans: 3","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bisayan:West:Aklan","http://wals.info/languoid/lect/wals_code_akl","http://www.ethnologue.com/show_language.asp?code=akl"
"44","Babatana","baa",-7,156.83,"Solomon Islands","Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 206","Number of Retentions: Proto Malayo-Polynesian:27","Proto-Oceanic:39Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Choiseul","http://wals.info/languoid/lect/wals_code_sis","http://www.ethnologue.com/show_language.asp?code=baa"
"45","Berawan (Long Terawan)","zbw",NA,NA,NA,"Blust","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 215","Number of Retentions: Proto Malayo-Polynesian:81","Number of Loans: 2","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Berawan-Lower Baram:Berawan",NA,"http://www.ethnologue.com/show_language.asp?code=zbw"
"46","Biga (Misool)","xmt",NA,NA,NA,"Blust, from Grace Notebooks","","Unknown Additions at bottom of original","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 186
            Number of Retentions: Proto Malayo-Polynesian:38
             
            Number of Loans: 7",NA,"http://www.ethnologue.com/show_language.asp?code=xmt"
"47","Bikol (Naga City)","bcl",13.33,123.5,"Philippines","Amy V. Daniega","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 227","Number of Retentions: Proto Malayo-Polynesian:96","Number of Loans: 5","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bikol:Coastal:Naga","http://wals.info/languoid/lect/wals_code_bkl","http://www.ethnologue.com/show_language.asp?code=bcl"
"48","Buginese (Soppeng Dialect)","bug",-4,120,"Indonesia","Zainuddin Taha","Recopied from Taha, with additional from Fachruddin Ambo Enre and Mills (1975)","Andreea: replaced two instances of capital [S] with small [s], entries: 206 'ten' and 210 'one thousand'.","Typed By: Debasish Roy  Checked By: Simon Greenhill",NA,NA,"Total Data: 242
            Number of Retentions: Proto Malayo-Polynesian:105
             
            Number of Loans: 1","http://wals.info/languoid/lect/wals_code_bug","http://www.ethnologue.com/show_language.asp?code=bug"
"49","Buli","bzq",1,128.5,"Indonesia","Blust from: Maan (1940)","Maan, G. (1940) Boelisch-Nederlandse woordenlijst. Verhandelingen van het Bataviaasch Genootschap van Kunsten en Wetenschappen 74","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 218","Number of Retentions: Proto Malayo-Polynesian:63","Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:South Halmahera-West New Guinea:South Halmahera:Southeast","http://wals.info/languoid/lect/wals_code_bui","http://www.ethnologue.com/show_language.asp?code=bzq"
"50","Buru [Namrole Bay]","mhs",-3.5,126.5,"Indonesia","Collins","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 241","Number of Retentions: Proto Malayo-Polynesian:94","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:Buru","http://wals.info/languoid/lect/wals_code_buu","http://www.ethnologue.com/show_language.asp?code=mhs"
"51","Bwaidoga","bwd",NA,NA,NA,"Blust, from: Jenness and Ballantyne (1926)","Jenness, D., Ballantyne, A. (1926). Language, Mythology, and Songs of Bwaidoga, Goodenough Island, S.E. Papua. Journal of the Polynesian Society.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 191","Number of Retentions: Proto Malayo-Polynesian:48","Proto-Oceanic:61Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Nuclear:North Papuan Mainland-D'Entrecasteaux:Bwaidoga",NA,"http://www.ethnologue.com/show_language.asp?code=bwd"
"52","Hawaiian","haw",19.58,-155.5,"United States","Blust, from: Pukui & Elbert (1971)","Pukui, M., & Elbert, S.H. (1971). Hawaiian Dictionary. University of Hawaii Press: Hawaii","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 246","Number of Retentions: Proto Malayo-Polynesian:86","Proto-Oceanic:114Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:East:Central:Marquesic","http://wals.info/languoid/lect/wals_code_haw","http://www.ethnologue.com/show_language.asp?code=haw"
"53","Hitu (Ambon)","htu",NA,NA,NA,"Jim Collins","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 200","Number of Retentions: Proto Malayo-Polynesian:84","Number of Loans: 6","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Seram:Nunusaku:Piru Bay:East:Seram Straits:Ambon",NA,"http://www.ethnologue.com/show_language.asp?code=htu"
"54","Hoava","hoa",-8.08,157.5,"Solomon Islands","Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 190","Number of Retentions: Proto Malayo-Polynesian:26","Proto-Oceanic:42Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:New Georgia:West","http://wals.info/languoid/lect/wals_code_hoa","http://www.ethnologue.com/show_language.asp?code=hoa"
"55","Kasira (Irahutu)","irh",-3,133.5,"Indonesia","Blust, from Grace","Fakfak area, Bomberai","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 198","Number of Retentions: Proto Malayo-Polynesian:40","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:South Halmahera-West New Guinea:South Halmahera","http://wals.info/languoid/lect/wals_code_irr","http://www.ethnologue.com/show_language.asp?code=irh"
